;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
;;gezogen;9;2;35;37;1;24;ZZ;12;4er;3.852;à;51,30;3er + ZZ;6.807;à;14,00;3er;68.939;à;5,10;ZZ;234.836;à;1,10;;;;;;
So;27.3.;aufsteigend;17;20;22;25;32;39;ZZ;43;6er;2JP;;2.079.586,10;5er + ZZ;5;à;57.188,60;5er;152;à;1.263,40;4er + ZZ;361;à;186,10;;;;;;
;;gezogen;17;25;22;32;39;20;ZZ;43;4er;7.068;à;44,80;3er + ZZ;9.443;à;16,20;3er;117.450;à;4,70;ZZ;347.844;à;1,10;;;;;;
Mi;30.3.;aufsteigend;15;19;23;29;34;39;ZZ;16;6er;1;à;3.495.305,30;5er + ZZ;5;à;38.932,20;5er;195;à;1.089,00;4er + ZZ;431;à;172,40;;;;;;
;;gezogen;34;39;15;23;19;29;ZZ;16;4er;8.766;à;39,90;3er + ZZ;11.089;à;15,30;3er;138.505;à;4,40;ZZ;409.120;à;1,10;;;;;;
So;3.4.;aufsteigend;13;15;27;35;36;38;ZZ;11;6er;JP; ;962.452,90;5er + ZZ;11;à;12.030,60;5er;123;à;1.173,70;4er + ZZ;386;à;130,90;;;;;;
;;gezogen;27;15;13;38;35;36;ZZ;11;4er;5.631;à;42,30;3er + ZZ;8.142;à;14,10;3er;87.995;à;4,80;ZZ;318.105;à;1,10;;;;;;
Mi;6.4.;aufsteigend;10;16;33;38;40;41;ZZ;35;6er;2JP;;2.217.855,70;5er + ZZ;1;à;172.617,80;5er;127;à;1.482,70;4er + ZZ;419;à;157,20;;;;;;
;;gezogen;38;33;10;40;41;16;ZZ;35;4er;6.915;à;44,90;3er + ZZ;9.454;à;15,90;3er;118.274;à;4,60;ZZ;333.932;à;1,10;;;;;;
So;10.4.;aufsteigend;2;5;13;15;19;26;ZZ;43;6er;1;à;3.834.674,30;5er + ZZ;5;à;44.462,50;5er;267;à;908,30;4er + ZZ;496;à;171,10;;;;;;
;;gezogen;19;13;2;5;15;26;ZZ;43;4er;11.172;à;35,80;3er + ZZ;12.893;à;15,00;3er;171.900;à;4,10;ZZ;433.435;à;1,10;;;;;;
Mi;13.4.;aufsteigend;7;9;18;22;31;44;ZZ;24;6er;1;à;1.000.000,00;5er + ZZ;3;à;38.663,60;5er;141;à;897,40;4er + ZZ;326;à;135,80;;;;;;
;;gezogen;22;9;31;44;7;18;ZZ;24;4er;5.292;à;39,40;3er + ZZ;6.723;à;15,00;3er;82.972;à;4,40;ZZ;230.232;à;1,10;;;;;;
So;17.4.;aufsteigend;4;16;21;22;29;42;ZZ;32;6er;JP;;985.513,00;5er + ZZ;4;à;33.877,00;5er;127;à;1.163,90;4er + ZZ;351;à;147,40;;;;;;
;;gezogen;29;22;21;16;42;4;ZZ;32;4er;5.916;à;41,20;3er + ZZ;8.500;à;13,90;3er;96.642;à;4,40;ZZ;249.332;à;1,10;;;;;;
Mi;20.4.;aufsteigend;8;13;14;25;34;39;ZZ;44;6er;2JP;;2.133.899,10;5er + ZZ;2;à;78.951,50;5er;139;à;1.239,20;4er + ZZ;333;à;181,00;;;;;;
;;gezogen;39;8;13;34;14;25;ZZ;44;4er;6.075;à;46,70;3er + ZZ;8.543;à;16,10;3er;103.072;à;4,90;ZZ;305.506;à;1,10;;;;;;
So;24.4.;aufsteigend;2;5;14;20;33;43;ZZ;30;6er;1;à;3.673.362,50;5er + ZZ;3;à;70.558,70;5er;180;à;1.282,80;4er + ZZ;525;à;153,90;;;;;;
;;gezogen;14;43;20;2;5;33;ZZ;30;4er;8.853;à;43,00;3er + ZZ;12.666;à;14,50;3er;146.806;à;4,60;ZZ;420.478;à;1,10;;;;;;
Mi;27.4.;aufsteigend;2;8;9;16;32;44;ZZ;14;6er;JP;;727.777,50;5er + ZZ;0;;100.069,40;5er;108;à;1.010,80;4er + ZZ;222;à;172,10;;;;;;
;;gezogen;2;9;8;16;44;32;ZZ;14;4er;4.798;à;37,50;3er + ZZ;5.584;à;15,60;3er;73.265;à;4,30;ZZ;194.180;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So.;1.5.;aufsteigend;15;24;25;32;38;41;ZZ;28;6er;1;à;2.060.339,10;5er + ZZ;6;à;47.216,10;5er;161;à;1.241,50;4er + ZZ;488;à;143,30;;;;;;
;;gezogen;38;41;24;25;32;15;ZZ;28;4er;7.483;à;44,00;3er + ZZ;10.673;à;14,90;3er;113.401;à;5,10;ZZ;419.754;à;1,10;;;;;;
Mi;4.5.;aufsteigend;4;10;21;37;40;43;ZZ;20;6er;1;à;1.000.000,00;5er + ZZ;2;à;57.790,80;5er;89;à;1.416,70;4er + ZZ;233;à;189,40;;;;;;
;;gezogen;37;21;43;40;4;10;ZZ;20;4er;4.414;à;47,10;3er + ZZ;6.450;à;15,60;3er;76.653;à;4,80;ZZ;232.608;à;1,10;;;;;;
So;8.5.;aufsteigend;3;5;6;33;36;44;ZZ;22;6er;JP;;974.541,20;5er + ZZ;7;à;19.142,70;5er;119;à;1.228,40;4er + ZZ;371;à;137,90;;;;;;
;;gezogen;3;5;33;6;36;44;ZZ;22;4er;5.640;à;42,70;3er + ZZ;9.240;à;12,60;3er;96.482;à;4,40;ZZ;275.588;à;1,10;;;;;;
Mi;11.5.;aufsteigend;4;6;24;26;28;42;ZZ;25;6er;1;à;2.013.729,30;5er + ZZ;5;à;28.577,60;5er;160;à;974,20;4er + ZZ;293;à;186,20;;;;;;
;;gezogen;4;26;24;28;42;6;ZZ;25;4er;6.375;à;40,30;3er + ZZ;7.597;à;16,40;3er;104.428;à;4,30;ZZ;277.795;à;1,10;;;;;;
So;15.5.;aufsteigend;2;18;21;22;29;40;ZZ;37;6er;JP;;947.962,30;5er + ZZ;0;;130.344,80;5er;91;à;1.562,50;4er + ZZ;259;à;192,10;;;;;;
;;gezogen;2;29;40;18;22;21;ZZ;37;4er;5.475;à;42,80;3er + ZZ;6.289;à;18,00;3er;90.170;à;4,60;ZZ;235.068;à;1,10;;;;;;
Mi;18.5.;aufsteigend;5;9;24;25;31;45;ZZ;18;6er;1;à;2.026.403,60;5er + ZZ;4;à;69.657,60;5er;123;à;1.315,10;4er + ZZ;354;à;159,90;;;;;;
;;gezogen;9;24;5;45;31;25;ZZ;18;4er;6.291;à;42,40;3er + ZZ;8.822;à;14,60;3er;104.562;à;4,50;ZZ;283.138;à;1,10;;;;;;
So;22.5.;aufsteigend;2;17;24;33;38;43;ZZ;28;6er;JP;;881.852,00;5er + ZZ;7;à;17.322,00;5er;119;à;1.111,50;4er + ZZ;298;à;155,30;;;;;;
;;gezogen;2;43;24;17;33;38;ZZ;28;4er;4.768;à;45,70;3er + ZZ;7.430;à;14,20;3er;79.542;à;4,80;ZZ;267.017;à;1,10;;;;;;
Mi;25.5.;aufsteigend;2;11;16;18;28;43;ZZ;37;6er;2JP;;1.894.193,90;5er + ZZ;1;à;139.197,00;5er;109;à;1.393,10;4er + ZZ;274;à;193,90;;;;;;
;;gezogen;43;2;11;28;18;16;ZZ;37;4er;6.000;à;41,70;3er + ZZ;6.975;à;17,40;3er;99.568;à;4,40;ZZ;255.911;à;1,10;;;;;;
So;29.5.;aufsteigend;1;14;26;28;30;35;ZZ;6;6er;3JP;;3.278.312,10;5er + ZZ;6;à;31.719,30;5er;136;à;1.526,60;4er + ZZ;457;à;159,00;;;;;;
;;gezogen;14;26;28;1;30;35;ZZ;6;4er;7.954;à;43,00;3er + ZZ;11.504;à;14,40;3er;132.756;à;4,50;ZZ;411.336;à;1,10;;;;;;
Mi;1.6.;aufsteigend;4;6;8;11;38;43;ZZ;40;6er;4JP;;4.999.945,20;5er + ZZ;7;à;33.817,70;5er;220;à;1.173,80;4er + ZZ;536;à;168,60;;;;;;
;;gezogen;43;38;4;8;11;6;ZZ;40;4er;10.416;à;40,90;3er + ZZ;12.789;à;16,10;3er;171.134;à;4,40;ZZ;473.474;à;1,10;;;;;;
So;5.6.;aufsteigend;8;15;16;18;21;29;ZZ;11;6er;1;à;7.157.717,80;5er + ZZ;7;à;42.384,80;5er;284;à;1.139,60;4er + ZZ;815;à;138,90;;;;;;
;;gezogen;8;21;16;18;29;15;ZZ;11;4er;13.300;à;40,10;3er + ZZ;19.538;à;13,20;3er;214.978;à;4,40;ZZ;643.505;à;1,10;;;;;;
Mi;8.6.;aufsteigend;6;15;21;34;38;42;ZZ;9;6er;1;à;1.000.000,00;5er + ZZ;1;à;105.489,20;5er;100;à;1.150,70;4er + ZZ;289;à;139,30;;;;;;
;;gezogen;34;6;21;38;42;15;ZZ;9;4er;4.278;à;44,30;3er + ZZ;6.402;à;14,30;3er;67.711;à;4,90;ZZ;258.686;à;1,10;;;;;;
So;12.6.;aufsteigend;6;13;14;24;27;44;ZZ;3;6er;JP;à;947.290,30;5er + ZZ;3;à;43.417,40;5er;126;à;1.127,70;4er + ZZ;349;à;142,50;;;;;;
;;gezogen;44;14;24;6;27;13;ZZ;3;4er;5.562;à;42,10;3er + ZZ;8.891;à;12,70;3er;89.509;à;4,60;ZZ;307.523;à;1,10;;;;;;
Mi;15.6.;aufsteigend;9;11;15;17;30;43;ZZ;1;6er;1;à;1.970.413,00;5er + ZZ;3;à;46.893,10;5er;117;à;1.311,60;4er + ZZ;315;à;170,50;;;;;;
;;gezogen;17;9;30;43;11;15;ZZ;1;4er;5.803;à;43,60;3er + ZZ;8.702;à;14,10;3er;99.384;à;4,50;ZZ;279.311;à;1,10;;;;;;
So;19.6.;aufsteigend;8;16;19;26;35;40;ZZ;37;6er;1;à;1.000.000,00;5er + ZZ;2;à;65.211,60;5er;145;à;981,20;4er + ZZ;326;à;152,70;;;;;;
;;gezogen;8;40;35;26;16;19;ZZ;37;4er;6.216;à;37,70;3er + ZZ;6.679;à;17,00;3er;95.360;à;4,30;ZZ;235.129;à;1,10;;;;;;
Mi;22.6.;aufsteigend;14;17;27;32;34;41;ZZ;7;6er;2;à;500.000,00;5er + ZZ;JP;;104.834,40;5er;127;à;900,50;4er + ZZ;405;à;98,80;;;;;;
;;gezogen;34;17;27;14;41;32;ZZ;7;4er;5.366;à;35,10;3er + ZZ;7.681;à;11,90;3er;74.494;à;4,50;ZZ;262.148;à;1,10;;;;;;
So;26.6.;aufsteigend;7;10;16;17;39;43;ZZ;11;6er;JP;;872.025,80;5er + ZZ;1;à;224.737,90;5er;151;à;866,20;4er + ZZ;298;à;153,60;;;;;;
;;gezogen;16;10;39;7;43;17;ZZ;11;4er;6.549;à;32,90;3er + ZZ;7.644;à;13,60;3er;91.762;à;4,10;ZZ;270.880;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;29.6.;aufsteigend;2;3;14;25;38;41;ZZ;1;6er;DJP;à;1 .908.887,84;5er + ZZ;3;à;47.522,80;5er;123;à;1.264,40;4er + ZZ;265;à;205,40;;;;;;
;;gezogen;38;41;2;3;25;14;ZZ;1;4er;5.337;à;48,00;3er + ZZ;7.082;à;17,50;3er;91.519;à;4,90;ZZ;308.961;à;1,10;;;;;;
So;03.7.;aufsteigend;10;22;25;31;36;39;ZZ;26;6er;3JP;;3.359.160,60;5er + ZZ;5;à;39.882,50;5er;187;à;1.163,30;4er + ZZ;428;à;177,80;;;;;;
;;gezogen;36;31;10;39;25;22;ZZ;26;4er;8.152;à;44,00;3er + ZZ;10.823;à;16,00;3er;130.652;à;4,80;ZZ;437.914;à;1,10;;;;;;
Mi;06.7.;aufsteigend;5;6;17;22;24;35;ZZ;45;6er;4JP;;5.048.501,90;5er + ZZ;6;à;38.714,00;5er;199;à;1.273,30;4er + ZZ;489;à;181,30;;;;;;
;;gezogen;17;5;35;6;22;24;ZZ;45;4er;9.915;à;42,10;3er + ZZ;13.168;à;15,30;3er;165.928;à;4,40;ZZ;468.009;à;1,10;;;;;;
So;10.7.;aufsteigend;4;25;29;33;34;44;ZZ;40;6er;1;à;7.254.065,00;5er + ZZ;4;à;75.816,20;5er;244;à;1.355,80;4er + ZZ;625;à;185,20;;;;;;
;;gezogen;29;4;34;44;33;25;ZZ;40;4er;12.042;à;45,30;3er + ZZ;16.241;à;16,20;3er;202.853;à;4,70;ZZ;614.744;à;1,10;;;;;;
Mi;13.7.;aufsteigend;8;17;24;34;37;38;ZZ;15;6er;JP;;779.513,60;5er + ZZ;1;à;107.183,10;5er;96;à;1.217,90;4er + ZZ;230;à;177,90;;;;;;
;;gezogen;8;24;17;34;38;37;ZZ;15;4er;4.585;à;42,00;3er + ZZ;5.551;à;16,80;3er;70.501;à;4,80;ZZ;230.134;à;1,10;;;;;;
So.;17.7.;aufsteigend;4;9;11;17;31;33;ZZ;6;6er;3;à;669.566,10;5er + ZZ;3;à;56.337,60;5er;182;à;1.013,00;4er + ZZ;426;à;151,40;;;;;;
;;gezogen;4;31;17;33;11;9;ZZ;6;4er;8.399;à;36,20;3er + ZZ;11.656;à;12,60;3er;131.776;à;4,10;ZZ;356.343;à;1,10;;;;;;
Mi;20.7.;aufsteigend;25;32;37;41;42;45;ZZ;35;6er;JP;;779.281,50;5er + ZZ;3;à;35.717,00;5er;78;à;1.498,60;4er + ZZ;230;à;177,80;;;;;;
;;gezogen;37;41;25;42;45;32;ZZ;35;4er;3.667;à;52,50;3er + ZZ;5.067;à;18,40;3er;61.871;à;5,50;ZZ;210.664;à;1,10;;;;;;
So;24.7.;aufsteigend;4;12;14;22;32;44;ZZ;15;6er;2JP;;1.990.163,60;5er + ZZ;3;à;55.498,70;5er;258;à;704,00;4er + ZZ;379;à;167,70;;;;;;
;;gezogen;14;12;4;22;32;44;ZZ;15;4er;8.289;à;36,10;3er + ZZ;9.078;à;16,00;3er;121.233;à;4,30;ZZ;357.418;à;1,10;;;;;;
Mi;27.7.;aufsteigend;2;6;9;20;24;33;ZZ;19;6er;1;à;3.242.111,80;5er + ZZ;7;à;24.591,80;5er;215;à;873,40;4er + ZZ;588;à;111,70;;;;;;
;;gezogen;20;33;24;6;2;9;ZZ;19;4er;8.973;à;34,50;3er + ZZ;12.343;à;12,10;3er;133.377;à;4,10;ZZ;354.580;à;1,10;;;;;;
So;31.7.;aufsteigend;1;7;17;31;37;45;ZZ;34;6er;2;à;500.000,00;5er + ZZ;2;à;62.732,60;5er;224;à;611,00;4er + ZZ;267;à;179,40;;;;;;
;;gezogen;45;31;1;37;17;7;ZZ;34;4er;5.921;à;38,10;3er + ZZ;6.790;à;16,10;3er;89.454;à;4,40;ZZ;250.439;à;1,10;;;;;;
Mi;3.8.;aufsteigend;3;24;27;31;36;43;ZZ;21;6er;1;à;1.000.000,00;5er + ZZ;1;à;104.102,60;5er;89;à;1.276,00;4er + ZZ;243;à;163,50;;;;;;
;;gezogen;36;3;43;24;31;27;ZZ;21;4er;4.716;à;39,70;3er + ZZ;5.978;à;15,10;3er;72.180;à;4,60;ZZ;230.180;à;1,10;;;;;;
So;7.8.;aufsteigend;2;8;9;14;32;42;ZZ;40;6er;JP;;891.472,90;5er + ZZ;1;à;122.577,50;5er;92;à;1.453,40;4er + ZZ;282;à;165,90;;;;;;
;;gezogen;14;8;32;9;42;2;ZZ;40;4er;5.252;à;42,00;3er + ZZ;7.209;à;14,80;3er;85.322;à;4,50;ZZ;239.081;à;1,10;;;;;;
Mi;10.8.;aufsteigend;5;21;24;31;35;40;ZZ;6;6er;2JP;;1.943.311,50;5er + ZZ;4;à;36.156,90;5er;128;à;1.232,60;4er + ZZ;273;à;202,20;;;;;;
;;gezogen;5;40;31;24;35;21;ZZ;6;4er;5.866;à;44,30;3er + ZZ;7.635;à;16,50;3er;95.432;à;4,80;ZZ;330.014;à;1,10;;;;;;
So;14.8.;aufsteigend;2;3;23;31;32;36;ZZ;39;6er;2;à;1.667.883,90;5er + ZZ;5;à;38.292,50;5er;149;à;1.401,80;4er + ZZ;390;à;187,40;;;;;;
;;gezogen;3;36;23;2;32;31;ZZ;39;4er;6.960;à;49,50;3er + ZZ;9.950;à;16,70;3er;122.279;à;5,00;ZZ;398.523;à;1,10;;;;;;
Mi;17.8.;aufsteigend;7;10;11;21;26;35;ZZ;5;6er;JP;;708.890,50;5er + ZZ;5;à;19.494,40;5er;111;à;957,90;4er + ZZ;331;à;112,40;;;;;;
;;gezogen;26;7;35;10;11;21;ZZ;5;4er;5.162;à;33,90;3er + ZZ;8.067;à;10,50;3er;81.233;à;3,80;ZZ;210.290;à;1,10;;;;;;
So;21.8.;aufsteigend;1;5;11;16;38;44;ZZ;34;6er;1;à;1.907.791,40;5er + ZZ;4;à;41.212,20;5er;139;à;1.293,70;4er + ZZ;374;à;168,20;;;;;;
;;gezogen;11;38;44;16;5;1;ZZ;34;4er;6.821;à;43,50;3er + ZZ;8.968;à;16,00;3er;114.658;à;4,60;ZZ;323.748;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
Mi;24.8.;aufsteigend;13;19;25;26;39;45;ZZ;44;6er;JP;;710.368,40;5er + ZZ;2;à;48.837,80;5er;103;à;1.034,50;4er + ZZ;198;à;188,30;;;;;;
;;gezogen;39;13;19;25;26;45;ZZ;44;4er;4.172;à;42,10;3er + ZZ;4.829;à;17,60;3er;67.370;à;4,60;ZZ;186.086;à;1,10;;;;;;
So;28.8.;aufsteigend;6;11;14;20;30;42;ZZ;32;6er;2JP; ;1.885.537,00;5er + ZZ;4;à;40.396,40;5er;142;à;1.241,30;4er + ZZ;354;à;174,20;;;;;;
;;gezogen;20;11;30;6;14;42;ZZ;32;4er;6.849;à;42,40;3er + ZZ;8.742;à;16,10;3er;113.058;à;4,50;ZZ;315.955;à;1,10;;;;;;
Mi;31.8.;aufsteigend;2;16;23;28;33;44;ZZ;15;6er;3JP;;3.143.931,00;5er + ZZ;6;à;28.838,10;5er;191;à;988,20;4er + ZZ;471;à;140,20;;;;;;
;;gezogen;28;2;44;23;16;33;ZZ;15;4er;7.861;à;39,60;3er + ZZ;10.941;à;13,80;3er;121.766;à;4,50;ZZ;359.137;à;1,10;;;;;;
So;4.9.;aufsteigend;5;18;23;32;35;40;ZZ;44;6er;1;à;4.902.802,20;5er + ZZ;2;à;120.922,30;5er;208;à;1.268,40;4er + ZZ;560;à;164,80;;;;;;
;;gezogen;35;32;23;18;40;5;ZZ;44;4er;10.182;à;42,70;3er + ZZ;13.036;à;16,10;3er;162.781;à;4,70;ZZ;478.325;à;1,10;;;;;;
Mi;7.9.;aufsteigend;1;7;10;26;33;42;ZZ;6;6er;JP;;810.719,80;5er + ZZ;0;;111.473,90;5er;116;à;1.048,30;4er + ZZ;254;à;167,50;;;;;;
;;gezogen;1;26;10;7;33;42;ZZ;6;4er;5.225;à;38,40;3er + ZZ;7.464;à;13,00;3er;82.782;à;4,30;ZZ;237.692;à;1,10;;;;;;
So;11.9.;aufsteigend;13;16;18;33;36;38;ZZ;35;6er;1;à;2.116.830,20;5er + ZZ;1;à;291.064,10;5er;126;à;1.554,80;4er + ZZ;334;à;205,30;;;;;;
;;gezogen;18;13;36;16;38;33;ZZ;35;4er;6.940;à;46,50;3er + ZZ;9.272;à;16,90;3er;116.332;à;4,90;ZZ;357.726;à;1,10;;;;;;
Mi;14.9.;aufsteigend;5;19;28;36;37;38;ZZ;3;6er;2;à;500.000,00;5er + ZZ;2;à;53.397,70;5er;68;à;1.713,20;4er + ZZ;262;à;155,60;;;;;;
;;gezogen;5;37;19;36;38;28;ZZ;3;4er;4.053;à;47,40;3er + ZZ;6.328;à;14,70;3er;67.278;à;5,00;ZZ;267.805;à;1,10;;;;;;
So;18.9.;aufsteigend;10;11;22;27;36;39;ZZ;24;6er;1;à;1.000.000,00;5er + ZZ;2;à;63.408,20;5er;137;à;1.009,80;4er + ZZ;294;à;164,60;;;;;;
;;gezogen;36;27;39;10;11;22;ZZ;24;4er;6.113;à;37,30;3er + ZZ;7.300;à;15,10;3er;95.134;à;4,20;ZZ;251.686;à;1,10;;;;;;
Mi;21.9.;aufsteigend;1;18;19;29;33;41;ZZ;35;6er;JP;;745.401,70;5er + ZZ;4;à;25.623,10;5er;104;à;1.075,00;4er + ZZ;183;à;213,80;;;;;;
;;gezogen;33;18;19;41;1;29;ZZ;35;4er;4.046;à;45,50;3er + ZZ;4.724;à;18,90;3er;68.812;à;4,70;ZZ;203.880;à;1,10;;;;;;
So;25.9.;aufsteigend;14;20;21;30;31;37;ZZ;28;6er;JP;;1.933.539,40;5er + ZZ;4;à;40.842,20;5er;121;à;1.472,80;4er + ZZ;322;à;193,70;;;;;;
;;gezogen;31;20;21;30;37;14;ZZ;28;4er;5.699;à;51,50;3er + ZZ;8.388;à;16,90;3er;98.064;à;5,30;ZZ;362.694;à;1,10;;;;;;
Mi;28.9.;aufsteigend;3;15;21;39;40;43;ZZ;1;6er;1;à;3.193.656,50;5er + ZZ;7;à;24.752,30;5er;163;à;1.159,60;4er + ZZ;341;à;194,00;;;;;;
;;gezogen;21;39;3;40;43;15;ZZ;1;4er;8.279;à;37,60;3er + ZZ;9.469;à;15,90;3er;129.211;à;4,20;ZZ;363.937;à;1,10;;;;;;
So;2.10.;aufsteigend;3;8;13;18;22;27;ZZ;41;6er;1;à;1.000.000,00;5er + ZZ;5;à;25.811,00;5er;161;à;874,40;4er + ZZ;342;à;144,00;;;;;;
;;gezogen;18;13;3;27;8;22;ZZ;41;4er;6.827;à;34,00;3er + ZZ;7.870;à;14,30;3er;104.531;à;3,90;ZZ;241.095;à;1,10;;;;;;
Mi;5.10.;aufsteigend;6;9;13;36;40;42;ZZ;12;6er;JP;;737.987,20;5er + ZZ;1;à;101.473,20;5er;81;à;1.366,60;4er + ZZ;204;à;189,90;;;;;;
;;gezogen;6;42;13;40;9;36;ZZ;12;4er;4.120;à;44,30;3er + ZZ;6.105;à;14,50;3er;68.586;à;4,70;ZZ;226.515;à;1,10;;;;;;
So;9.10.;aufsteigend;7;10;26;31;38;42;ZZ;5;6er;2JP;;1.923.208,60;5er + ZZ;6;à;27.161,30;5er;149;à;1.193,10;4er + ZZ;379;à;164,10;;;;;;
;;gezogen;26;31;42;10;7;38;ZZ;5;4er;6.857;à;42,70;3er + ZZ;10.636;à;13,30;3er;111.266;à;4,60;ZZ;367.942;à;1,10;;;;;;
Mi;12.10.;aufsteigend;4;20;23;29;31;40;ZZ;9;6er;3JP;;3.201.141,70;5er + ZZ;10;à;17.571,50;5er;161;à;1.190,60;4er + ZZ;465;à;144,20;;;;;;
;;gezogen;23;31;29;40;20;4;ZZ;9;4er;7.120;à;44,40;3er + ZZ;11.336;à;13,50;3er;116.203;à;4,80;ZZ;402.855;à;1,10;;;;;;
So;16.10.;aufsteigend;1;6;15;29;33;35;ZZ;36;6er;4JP;;4.970.236,90;5er + ZZ;7;à;34.750,00;5er;230;à;1.153,70;4er + ZZ;437;à;212,50;;;;;;
;;gezogen;29;33;35;15;1;6;ZZ;36;4er;10.581;à;41,30;3er + ZZ;14.032;à;15,10;3er;171.982;à;4,50;ZZ;480.009;à;1,10;;;;;;
Mi;19.10.;aufsteigend;16;29;31;36;40;44;ZZ;38;6er;5JP;;7.426.726,50;5er + ZZ;3;à;112.589,10;5er;331;à;1.113,20;4er + ZZ;795;à;162,20;;;;;;
;;gezogen;40;16;44;36;29;31;ZZ;38;4er;14.153;à;42,90;3er + ZZ;18.179;à;16,20;3er;220.983;à;4,80;ZZ;680.780;à;1,10;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011 Lotto - Beträge in EUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Datum;;Reihenfolge;Zahlen;;;;;;;;;Anzahl    ;;Quote;;Anzahl ;;Quote;;Anzahl;;Quote;;Anzahl;;Quote;;;;;;
So;23.10.;aufsteigend;2;18;27;28;37;38;ZZ;20;6er;2;à;5.507.164,10;5er + ZZ;11;à;44.845,00;5er;468;à;1.149,80;4er + ZZ;1.060;à;177,60;;;;;;
;;gezogen;2;27;37;18;28;38;ZZ;20;4er;20.056;à;44,20;3er + ZZ;27.732;à;15,50;3er;334.587;à;4,70;ZZ;1.022.984;à;1,10;;;;;;
Mi;26.10.;aufsteigend;4;11;26;35;36;42;ZZ;13;6er;JP;;715.987,70;5er + ZZ;3;à;32.816,10;5er;89;à;1.206,70;4er + ZZ;207;à;181,50;;;;;;
;;gezogen;26;36;35;42;4;11;ZZ;13;4er;4.035;à;43,90;3er + ZZ;5.344;à;16,00;3er;65.415;à;4,80;ZZ;210.058;à;1,10;;;;;;
So;30.10.;aufsteigend;4;13;14;25;29;38;ZZ;45;6er;2JP;;1.994.148,40;5er + ZZ;2;à;87.873,50;5er;150;à;1.278,10;4er + ZZ;417;à;160,90;;;;;;
